label, desc
1, "Short pass on the left side of the start of the opponent half"
2, "Medium, primarily high ball from (or around) own box down the middle"
3, "Short forward pass to the high-right side of the box"
4, "Short pass on the left side of the end of own half"
5, "Medium pass to the middle from half-right side of the opponent half"
6, "Short pass on the right side of the start of the opponent half"
7, "Short pass from the center to the left on own half"
8, "Short forward pass to the high-left side of the box"
9, "Medium pass from the left side to own box"
10, "Short, forward pass near the righ side of center on own half"
11, "Short pass on the right edge of opponent's box"
12, "Long ball down the right-hand side"
13, "Horizontal pass from left to right, on own half"
14, "Horizontal pass from left to right, on opponent half"
15, "Short pass on the right side of opponent half"
16, "Backward pass from the left side to the middle, on own half"
17, "Long ball from the half right side of own third to opponent half"
18, "Medium pass from own box to the right"
19, "Short pass on the left edge of opponent's box"
20, "Long clearance"
21, "Long ball down the left-hand side"
22, "Medium horizontal pass from the center to the left"
23, "Medium progressive pass from center to the left"
24, "Short pass on the right side of own half"
25, "Short pass on the right side of own box"
26, "Medium horizontal pass from the center to the rigth"
27, "Short pass on the left side of own half"
28, "Medium pass from left side to the middle on opponent half"
29, "Medium progressive pass from center to the right"
30, "Long ball from the left side of own third towards the halfway line"
31, "Backward pass from the right side to the middle, on own half"
32, "Short pass from half-left to the left on opponent half"
33, "Short back pass from the center"
34, "Medium pass from own half to opponent half on the right side"
35, "Pass/Cross into the opponent box from half-right side"
36, "Short pass from half-right to the right on opponent half"
37, "Medium pass from own box to the left"
38, "Medium pass to the middle from half-left side of the opponent half"
39, "Pass/Cross into the opponent box from half-left side"
40, "Long ball from the right side of own third towards the halfway line"
41, "Progressive pass from middle third to final third on the right side"
42, "Backward pass from opponent half to own half on the left side"
43, "Horizontal pass from right to left, on own half"
44, "Short pass on the left side of opponent half"
45, "Cross into opponent box from the right"
46, "Medium pass from right side to the middle on opponent half"
47, "Short pass from the middle to the right on own half"
48, "Medium pass from the right side to own box"
49, "Medium pass from own half to opponent half on the left side"
50, "Long switch of play near opponent box"
51, "Long ball from the half left side of own third to opponent half"
52, "Short pass on the left side of own box"
53, "Long clearance"
54, "Long diagonal ball from the middle-right to opponent third"
55, "Short pass on the right side of the end of own half"
56, "Short, forward pass near the left side of center on own half"
57, "Long diagonal ball from the middle-left to opponent third"
58, "Horizontal pass from right to left, on opponent half"
59, "Backward pass from opponent half to own half on the rigth side"
60, "Progressive pass from middle third to final third on the left side"